State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Tamil Nadu,THENI,Rice,2018-19,Autumn,4039.0,Hectare,23824.0,Tonnes,5.8984897251795
Tamil Nadu,THENI,Rice,2018-19,Summer,3794.0,Hectare,15887.0,Tonnes,4.187401159725883
Tamil Nadu,THENI,Rice,2018-19,Winter,5668.0,Hectare,30431.0,Tonnes,5.368913196894848
Tamil Nadu,THOOTHUKUDI,Rice,2018-19,Autumn,1287.0,Hectare,4869.0,Tonnes,3.7832167832167833
Tamil Nadu,THOOTHUKUDI,Rice,2018-19,Summer,8109.0,Hectare,33960.0,Tonnes,4.187939326674066
Tamil Nadu,TIRUPPUR,Rice,2018-19,Summer,690.0,Hectare,2888.0,Tonnes,4.185507246376812
Tamil Nadu,VELLORE,Rice,2018-19,Autumn,12124.0,Hectare,55933.0,Tonnes,4.613411415374464
Tamil Nadu,VELLORE,Rice,2018-19,Summer,15517.0,Hectare,74879.0,Tonnes,4.825610620609654
Tamil Nadu,VIRUDHUNAGAR,Rice,2018-19,Autumn,135.0,Hectare,580.0,Tonnes,4.296296296296297
Tamil Nadu,VIRUDHUNAGAR,Rice,2018-19,Summer,2336.0,Hectare,9667.0,Tonnes,4.138270547945205
Tamil Nadu,VIRUDHUNAGAR,Rice,2018-19,Winter,17767.0,Hectare,59716.0,Tonnes,3.3610626442280633
Gujarat,AHMADABAD,Arhar/Tur,2019-20,Kharif,417.0,Hectare,413.0,Tonnes,0.9904076738609112
Gujarat,GANDHINAGAR,Arhar/Tur,2019-20,Kharif,62.0,Hectare,61.0,Tonnes,0.9838709677419355
Gujarat,JAMNAGAR,Arhar/Tur,2019-20,Kharif,967.0,Hectare,1574.0,Tonnes,1.6277145811789038
Gujarat,RAJKOT,Arhar/Tur,2019-20,Kharif,1746.0,Hectare,3940.0,Tonnes,2.256586483390607
Gujarat,SURAT,Arhar/Tur,2019-20,Kharif,7868.000000000001,Hectare,9105.0,Tonnes,1.1572191154041687
Gujarat,AHMADABAD,Bajra,2019-20,Summer,927.9999999999999,Hectare,3108.0,Tonnes,3.349137931034483
Gujarat,GANDHINAGAR,Bajra,2019-20,Summer,5251.0,Hectare,19072.0,Tonnes,3.632070081889164
Gujarat,JAMNAGAR,Bajra,2019-20,Kharif,24.0,Hectare,42.0,Tonnes,1.75
Gujarat,JAMNAGAR,Bajra,2019-20,Summer,628.0,Hectare,1804.0,Tonnes,2.872611464968153
Gujarat,RAJKOT,Bajra,2019-20,Kharif,581.0,Hectare,1010.0,Tonnes,1.738382099827883
Gujarat,RAJKOT,Bajra,2019-20,Summer,1313.0,Hectare,3772.0,Tonnes,2.8728103579588726
Gujarat,JAMNAGAR,Gram,2019-20,Rabi,43688.0,Hectare,72795.0,Tonnes,1.6662470243545138
Gujarat,RAJKOT,Gram,2019-20,Rabi,36563.0,Hectare,73229.0,Tonnes,2.0028170554932583
Gujarat,SURAT,Gram,2019-20,Rabi,1533.0,Hectare,2404.0,Tonnes,1.568166992824527
Gujarat,AHMADABAD,Maize,2019-20,Kharif,5.0,Hectare,7.000000000000001,Tonnes,1.4
Gujarat,GANDHINAGAR,Maize,2019-20,Kharif,5.0,Hectare,7.000000000000001,Tonnes,1.4
Gujarat,RAJKOT,Maize,2019-20,Summer,219.0,Hectare,482.0,Tonnes,2.2009132420091326
Gujarat,SURAT,Maize,2019-20,Kharif,800.0,Hectare,1442.0,Tonnes,1.8025
Gujarat,SURAT,Maize,2019-20,Rabi,483.0,Hectare,761.0,Tonnes,1.5755693581780539
Gujarat,AHMADABAD,Rice,2019-20,Kharif,133051.0,Hectare,271922.0,Tonnes,2.0437426250084556
Gujarat,AHMADABAD,Rice,2019-20,Summer,17045.0,Hectare,57069.00000000001,Tonnes,3.3481372836608982
Gujarat,GANDHINAGAR,Rice,2019-20,Summer,6.0,Hectare,18.0,Tonnes,3.0
Gujarat,SURAT,Rice,2019-20,Summer,3742.0,Hectare,10948.0,Tonnes,2.9257081774452165
Gujarat,AHMADABAD,Wheat,2019-20,Rabi,156379.0,Hectare,420609.0,Tonnes,2.6896770026665986
Gujarat,JAMNAGAR,Wheat,2019-20,Rabi,48489.0,Hectare,192715.0,Tonnes,3.974406566437749
Madhya Pradesh,ASHOKNAGAR,Arhar/Tur,2019-20,Kharif,6.0,Hectare,4.0,Tonnes,0.6666666666666666
Madhya Pradesh,DAMOH,Arhar/Tur,2019-20,Kharif,2842.0,Hectare,3311.0,Tonnes,1.1650246305418719
Madhya Pradesh,JABALPUR,Arhar/Tur,2019-20,Kharif,4744.0,Hectare,3178.0,Tonnes,0.6698988195615514
Madhya Pradesh,VIDISHA,Arhar/Tur,2019-20,Kharif,150.0,Hectare,69.0,Tonnes,0.46
Madhya Pradesh,ASHOKNAGAR,Bajra,2019-20,Kharif,6.0,Hectare,11.0,Tonnes,1.8333333333333333
Madhya Pradesh,DAMOH,Bajra,2019-20,Kharif,3.0,Hectare,6.0,Tonnes,2.0
Madhya Pradesh,KHARGONE,Bajra,2019-20,Kharif,36.0,Hectare,19.0,Tonnes,0.5277777777777778
Madhya Pradesh,VIDISHA,Bajra,2019-20,Kharif,23.0,Hectare,49.0,Tonnes,2.130434782608696
Madhya Pradesh,BETUL,Gram,2019-20,Rabi,53445.0,Hectare,65737.0,Tonnes,1.2299934512115258
